OBJECTID,src_SA1_MAIN16,nbr_SA1_MAIN16,src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH,NODE_COUNT
37700,21305146732,21305146804,2146732,2146804,0.006844900891730,0
37701,21305146732,21305146805,2146732,2146805,0.000358899211615,0
37702,21305146733,21305146739,2146733,2146739,0.004792604493852,0
37703,21305146734,21305146746,2146734,2146746,0.005071848034564,0
37704,21305146736,21305146740,2146736,2146740,0.001457638315000,0
37705,21305146736,21305146746,2146736,2146746,0.001561389525100,0
37706,21305146736,21305146747,2146736,2146747,0.003841607324328,0
37707,21305146737,21305146744,2146737,2146744,0.006062761364200,0
37708,21305146737,21305146745,2146737,2146745,0.000000000000000,1
37709,21305146740,21305146743,2146740,2146743,0.003632379326871,0
37710,21305146744,21305146745,2146744,2146745,0.003429257937476,0
37711,21305146744,21305146747,2146744,2146747,0.005441036838818,0
37712,21305146745,21305146746,2146745,2146746,0.003308869277314,0
37713,21305146745,21305146747,2146745,2146747,0.000555594143158,0
37714,21305146746,21305146747,2146746,2146747,0.001564984542866,0
37715,21305146801,21305146802,2146801,2146802,0.010959887234091,0
37716,21305146801,21305146806,2146801,2146806,0.011722933096311,0
37717,21305146801,21305146808,2146801,2146808,0.034598256401449,0
37718,21305146801,21305146809,2146801,2146809,0.005754301751205,0
37719,21305146801,21305146819,2146801,2146819,0.005523042412936,0
37720,21305146801,21305146822,2146801,2146822,0.000912527625932,0
37721,21305146801,21305146826,2146801,2146826,0.003683535733026,0
37722,21305146801,21305146828,2146801,2146828,0.019646727889737,0
37723,21305146802,21305146806,2146802,2146806,0.004477424722007,0
37724,21305146802,21305146820,2146802,2146820,0.008073817679843,0
37725,21305146802,21305146822,2146802,2146822,0.003838991869619,0
37726,21305146802,21305146825,2146802,2146825,0.000766287497485,0
37727,21305146803,21305146812,2146803,2146812,0.002354675129290,0
37728,21305146803,21305146816,2146803,2146816,0.003783142935735,0
37729,21305146803,21305146817,2146803,2146817,0.004091369049475,0
37730,21305146803,21305146818,2146803,2146818,0.002894338728530,0
37731,21305146803,21305146821,2146803,2146821,0.000746529291027,0
37732,21305146803,21305146827,2146803,2146827,0.002172942381852,0
37733,21305146804,21305146805,2146804,2146805,0.004693246941521,0
37734,21305146804,21305146815,2146804,2146815,0.000494197997582,0
37735,21305146804,21305146824,2146804,2146824,0.003816177963175,0
37736,21305146804,21305146828,2146804,2146828,0.000623905434522,0
37737,21305146805,21305146811,2146805,2146811,0.005893686265986,0
37738,21305146805,21305146816,2146805,2146816,0.000293150236704,0
37739,21305146805,21305146824,2146805,2146824,0.004940041571476,0
37740,21305146806,21305146809,2146806,2146809,0.004676718405225,0
37741,21305146806,21305146825,2146806,2146825,0.002889897787997,0
37742,21305146807,21305146813,2146807,2146813,0.002789431750453,0
37743,21305146807,21305146817,2146807,2146817,0.001931817981570,0
37744,21305146807,21305146827,2146807,2146827,0.005593651145490,0
37745,21305146809,21305146819,2146809,2146819,0.003256993711402,0
37746,21305146809,21305146825,2146809,2146825,0.006995930013774,0
37747,21305146810,21305146812,2146810,2146812,0.003988719770672,0
37748,21305146810,21305146821,2146810,2146821,0.003185142278705,0
37749,21305146810,21305146826,2146810,2146826,0.006863242924872,0
37750,21305146811,21305146813,2146811,2146813,0.003528389891844,0
37751,21305146811,21305146816,2146811,2146816,0.003592214642034,0
37752,21305146811,21305146817,2146811,2146817,0.000159561754982,0
37753,21305146812,21305146818,2146812,2146818,0.003455644627844,0
37754,21305146812,21305146821,2146812,2146821,0.005092705111450,0
37755,21305146812,21305146827,2146812,2146827,0.000908628881612,0
37756,21305146813,21305146817,2146813,2146817,0.004125466661240,0
37757,21305146814,21305146815,2146814,2146815,0.005183288792964,0
37758,21305146814,21305146819,2146814,2146819,0.002363958432715,0
37759,21305146814,21305146820,2146814,2146820,0.002621250127771,0
37760,21305146814,21305146821,2146814,2146821,0.000000000000000,1
37761,21305146814,21305146822,2146814,2146822,0.003165279921043,0
37762,21305146814,21305146823,2146814,2146823,0.003239426471688,0
37763,21305146814,21305146825,2146814,2146825,0.001995858624701,0
37764,21305146814,21305146826,2146814,2146826,0.001475703970029,0
37765,21305146815,21305146816,2146815,2146816,0.000124765029782,0
37766,21305146815,21305146819,2146815,2146819,0.006328502265312,0
37767,21305146815,21305146823,2146815,2146823,0.005925739600565,0
37768,21305146815,21305146824,2146815,2146824,0.010238803384112,0
37769,21305146815,21305146828,2146815,2146828,0.005900839339461,0
37770,21305146816,21305146817,2146816,2146817,0.002096333115412,0
37771,21305146816,21305146821,2146816,2146821,0.000330289832682,0
37772,21305146816,21305146823,2146816,2146823,0.004363578922259,0
37773,21305146816,21305146824,2146816,2146824,0.004244033922167,0
37774,21305146817,21305146827,2146817,2146827,0.000210506708124,0
37775,21305146818,21305146827,2146818,2146827,0.006505401056288,0
37776,21305146819,21305146825,2146819,2146825,0.001631291351331,0
37777,21305146819,21305146828,2146819,2146828,0.001193296697574,0
37778,21305146820,21305146822,2146820,2146822,0.005518900550546,0
37779,21305146820,21305146825,2146820,2146825,0.002957247088860,0
37780,21305146821,21305146823,2146821,2146823,0.006322549743871,0
37781,21305146821,21305146826,2146821,2146826,0.001474583398311,0
37782,21305146822,21305146826,2146822,2146826,0.010648579814395,0
37783,21305146823,21305146826,2146823,2146826,0.000000000000000,1
37784,21401137001,21401137002,2137001,2137002,0.003257050029076,0
37785,21401137001,21401137004,2137001,2137004,0.004180020019375,0
37786,21401137001,21401137604,2137001,2137604,0.001684706947431,0
37787,21401137001,21401137605,2137001,2137605,0.000000000000000,1
37788,21401137001,21401137606,2137001,2137606,0.003905815951821,0
37789,21401137001,21401137607,2137001,2137607,0.000000000000000,1
37790,21401137001,21401137619,2137001,2137619,0.002534935818147,0
37791,21401137002,21401137003,2137002,2137003,0.003491439994289,0
37792,21401137002,21401137004,2137002,2137004,0.000124411881706,0
37793,21401137002,21401137016,2137002,2137016,0.003132492586245,0
37794,21401137002,21401137606,2137002,2137606,0.000000000000000,1
37795,21401137002,21401137607,2137002,2137607,0.002774035698246,0
37796,21401137003,21401137004,2137003,2137004,0.005279267187647,0
37797,21401137003,21401137014,2137003,2137014,0.004573155298257,0
37798,21401137003,21401137015,2137003,2137015,0.003659114591128,0
37799,21401137003,21401137016,2137003,2137016,0.001059969924928,0
37800,21401137003,21401137019,2137003,2137019,0.000000000000000,1
37801,21401137004,21401137014,2137004,2137014,0.000000000000000,1
37802,21401137004,21401137019,2137004,2137019,0.004282829169349,0
37803,21401137004,21401137029,2137004,2137029,0.001649558437681,0
37804,21401137004,21401137604,2137004,2137604,0.001626357956806,0
37805,21401137006,21401137048,2137006,2137048,0.002039415523349,0
37806,21401137006,21401137051,2137006,2137051,0.004799826585750,0
37807,21401137006,21401137052,2137006,2137052,0.004872306536139,0
37808,21401137006,21401137053,2137006,2137053,0.000476172712866,0
37809,21401137006,21401137054,2137006,2137054,0.007992485017710,0
37810,21401137006,21401137055,2137006,2137055,0.000000000000000,1
37811,21401137008,21401137010,2137008,2137010,0.003026344551667,0
37812,21401137008,21401137011,2137008,2137011,0.001787904855782,0
37813,21401137008,21401137012,2137008,2137012,0.002274214172117,0
37814,21401137008,21401137034,2137008,2137034,0.003408923153881,0
37815,21401137008,21401137036,2137008,2137036,0.003924383070157,0
37816,21401137008,21401137044,2137008,2137044,0.008450126052058,0
37817,21401137009,21401137010,2137009,2137010,0.006250255514501,0
37818,21401137009,21401137044,2137009,2137044,0.003622357920695,0
37819,21401137009,21401137053,2137009,2137053,0.005376222835488,0
37820,21401137009,21401137613,2137009,2137613,0.002016177833374,0
37821,21401137009,21401137614,2137009,2137614,0.000591989671081,0
37822,21401137010,21401137017,2137010,2137017,0.004327866758596,0
37823,21401137010,21401137036,2137010,2137036,0.000904428055052,0
37824,21401137010,21401137044,2137010,2137044,0.000379933380058,0
37825,21401137010,21401137611,2137010,2137611,0.000000000000000,1
37826,21401137010,21401137613,2137010,2137613,0.004390114579953,0
37827,21401137011,21401137012,2137011,2137012,0.009846086968600,0
37828,21401137011,21401137027,2137011,2137027,0.000000000000000,1
37829,21401137011,21401137033,2137011,2137033,0.010101112429548,0
37830,21401137011,21401137034,2137011,2137034,0.001767434219294,0
37831,21401137011,21401137050,2137011,2137050,0.004364835884733,0
37832,21401137012,21401137044,2137012,2137044,0.001166787971614,0
37833,21401137012,21401137047,2137012,2137047,0.002337702098747,0
