SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1129904,115031299
1129905,115031299
1129906,115031299
1129907,115031299
1129908,115031299
1130001,115031300
1130002,115031300
1130003,115031300
1130004,115031300
1130005,115031300
1130006,115031300
1130007,115031300
1130009,115031300
1130010,115031300
1130011,115031300
1130012,115031300
1130013,115031300
1130014,115031300
1130015,115031300
1130016,115031300
1130017,115031300
1130018,115031300
1130019,115031300
1130020,115031300
1130021,115031300
1130022,115031300
1130023,115031300
1130024,115031300
1130025,115031300
1130026,115031300
1130027,115031300
1130028,115031300
1130029,115031300
1130030,115031300
1130031,115031300
1130032,115031300
1130033,115031300
1130034,115031300
1130035,115031300
1130036,115031300
1130037,115031300
1130038,115031300
1130040,115031300
1130041,115031300
1130042,115031300
1130043,115031300
1130044,115031300
1130045,115031300
1130046,115031300
1130047,115031300
1130048,115031300
1130049,115031300
1130050,115031300
1130051,115031300
1130052,115031300
1130053,115031300
1130054,115031300
1130055,115031300
1130056,115031300
1130057,115031300
1130058,115031300
1130059,115031300
1130060,115031300
1130061,115031300
1130062,115031300
1130063,115031300
1130101,115041301
1130102,115041301
1130103,115041301
1130104,115041301
1130105,115041301
1130106,115041301
1130107,115041301
1130108,115041301
1130109,115041301
1130110,115041301
1130111,115041301
1130112,115041301
1130113,115041301
1130114,115041301
1130115,115041301
1130116,115041301
1130117,115041301
1130118,115041301
1130119,115041301
1130120,115041301
1130121,115041301
1130122,115041301
1130201,115041302
1130202,115041302
1130203,115041302
1130205,115041302
1130206,115041302
1130207,115041302
1130208,115041302
1130209,115041302
1130210,115041302
1130211,115041302
1130212,115041302
1130213,115041302
1130214,115041302
1130215,115041302
1130216,115041302
1130217,115041302
1130218,115041302
1130219,115041302
1130220,115041302
1130221,115041302
1130222,115041302
1130223,115041302
1130224,115041302
1130225,115041302
1130226,115041302
1130227,115041302
1130228,115041302
1130229,115041302
1130230,115041302
1130231,115041302
1130232,115041302
1130233,115041302
1130234,115041302
1130235,115041302
1130236,115041302
1130237,115041302
1130238,115041302
1130239,115041302
1130240,115041302
1130241,115041302
1130242,115041302
1130243,115041302
1130244,115041302
1130301,116011303
1130302,116011303
1130303,116011303
1130304,116011303
1130305,116011303
1130306,116011303
1130307,116011303
1130308,116011303
1130310,116011303
1130311,116011303
1130312,116011303
1130314,116011303
1130315,116011303
1130316,116011303
1130317,116011303
1130318,116011303
1130319,116011303
1130320,116011303
1130321,116011303
1130322,116011303
1130323,116011303
1130324,116011303
1130325,116011303
1130326,116011303
1130327,116011303
1130328,116011303
1130329,116011303
1130332,116011303
1130333,116011303
1130334,116011303
1130335,116011303
1130336,116011303
1130338,116011303
1130339,116011303
1130340,116011303
1130341,116011303
1130342,116011303
1130401,116011304
1130402,116011304
1130403,116011304
1130404,116011304
1130405,116011304
1130406,116011304
1130407,116011304
1130408,116011304
1130409,116011304
1130410,116011304
1130411,116011304
1130412,116011304
1130413,116011304
1130414,116011304
1130415,116011304
1130416,116011304
1130417,116011304
1130418,116011304
1130419,116011304
1130420,116011304
1130421,116011304
1130422,116011304
1130423,116011304
1130424,116011304
1130425,116011304
1130426,116011304
1130427,116011304
1130428,116011304
1130429,116011304
1130430,116011304
1130431,116011304
1130432,116011304
1130433,116011304
1130434,116011304
1130435,116011304
1130436,116011304
1130437,116011304
1130438,116011304
1130439,116011304
1130440,116011304
1130442,116011304
1130601,116011306
1130602,116011306
1130604,116011306
1130605,116011306
1130606,116011306
1130607,116011306
1130608,116011306
1130609,116011306
1130610,116011306
1130611,116011306
1130612,116011306
1130613,116011306
1130614,116011306
1130615,116011306
1130616,116011306
1130617,116011306
1130618,116011306
1130619,116011306
1130620,116011306
1130621,116011306
1130622,116011306
1130623,116011306
1130624,116011306
1130625,116011306
1130626,116011306
1130627,116011306
1130628,116011306
1130630,116011306
1130631,116011306
1130632,116011306
1130633,116011306
1130634,116011306
1130635,116011306
1130636,116011306
1130637,116011306
1130638,116011306
1130639,116011306
1130640,116011306
1130641,116011306
1130642,116011306
1130643,116011306
1130644,116011306
1130645,116011306
1130646,116011306
1130647,116011306
1130648,116011306
1130649,116011306
1130650,116011306
1130701,116011307
1130702,116011307
1130703,116011307
1130704,116011307
1130705,116011307
1130706,116011307
1130707,116011307
1130708,116011307
1130709,116011307
1130710,116011307
1130711,116011307
1130712,116011307
1130713,116011307
1130714,116011307
1130715,116011307
1130716,116011307
1130717,116011307
1130718,116011307
1130719,116011307
1130720,116011307
1130721,116011307
1130722,116011307
1130723,116011307
1130724,116011307
1130725,116011307
1130726,116011307
1130727,116011307
1130728,116011307
1130729,116011307
1130730,116011307
1130731,116011307
1130732,116011307
1130733,116011307
1130734,116011307
1130735,116011307
1130736,116011307
1130737,116011307
1130738,116011307
1130739,116011307
1130740,116011307
1130741,116011307
1130742,116011307
1130743,116011307
1130744,116011307
1130745,116011307
1130746,116011307
1130747,116011307
1130748,116011307
1130749,116011307
1130750,116011307
1130751,116011307
1130752,116011307
1130753,116011307
1130754,116011307
1130755,116011307
1130756,116011307
1130801,116011308
1130802,116011308
1130803,116011308
1130804,116011308
1130805,116011308
1130806,116011308
1130807,116011308
1130808,116011308
1130809,116011308
1130810,116011308
1130811,116011308
1130812,116011308
1130813,116011308
1130814,116011308
1130815,116011308
1130816,116011308
1130817,116011308
1130818,116011308
1130819,116011308
1130820,116011308
1130821,116011308
1130822,116011308
1130823,116011308
1130824,116011308
1130825,116011308
1130826,116011308
1130827,116011308
1130828,116011308
1130829,116011308
1130830,116011308
1130831,116011308
1130832,116011308
1130833,116011308
1130834,116011308
1130835,116011308
1130836,116011308
1130837,116011308
1130838,116011308
1130839,116011308
1130840,116011308
1130842,116011308
1130843,116011308
1130844,116011308
1130845,116011308
1130846,116011308
1130847,116011308
1130848,116011308
1130849,116011308
1130850,116011308
1130851,116011308
1130901,116021309
1130902,116021309
1130903,116021309
1130904,116021309
1130905,116021309
1130906,116021309
1130907,116021309
1130908,116021309
1130909,116021309
1130910,116021309
1130911,116021309
1130912,116021309
1130913,116021309
1130914,116021309
1130915,116021309
1130916,116021309
1130917,116021309
1130918,116021309
1130919,116021309
1130920,116021309
1130921,116021309
1130922,116021309
1130923,116021309
1130924,116021309
1130925,116021309
1130926,116021309
1130927,116021309
1130928,116021309
1130929,116021309
1130930,116021309
1130931,116021309
1130932,116021309
1130933,116021309
1130934,116021309
1130935,116021309
1130936,116021309
1131004,116021310
1131005,116021310
1131006,116021310
1131007,116021310
1131008,116021310
1131011,116021310
1131012,116021310
1131013,116021310
1131014,116021310
1131015,116021310
1131017,116021310
1131018,116021310
1131019,116021310
1131020,116021310
1131021,116021310
1131022,116021310
1131025,116021310
1131030,116021310
1131201,116021312
1131203,116021312
1131204,116021312
1131205,116021312
1131206,116021312
1131207,116021312
1131208,116021312
1131209,116021312
1131210,116021312
1131211,116021312
1131213,116021312
1131214,116021312
1131215,116021312
1131216,116021312
1131217,116021312
1131218,116021312
1131219,116021312
1131220,116021312
1131221,116021312
1131222,116021312
1131223,116021312
1131226,116021312
1131227,116021312
1131228,116021312
1131229,116021312
